kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Banyuwangi,Desember,2023,46506,46145.5,29933,29463.6,2.35,27.28,4202,21472,1385,7797,16.41,26.67,12,0.9922483120457576,0.9843183108943306,5.109947643979058,5.629602888086643,1.6252285191956126,5603.41,29295.67,0,4,32728.7
Banyuwangi,Januari,2024,25948,1025.7,17642,356.4,3.64,27.14,4265,22305,1753,9937,21.28,34.8,1,0.03952905811623247,0.020201791180138304,5.229777256740914,5.668568168853394,1.6353383458646615,6039.28,32276.8,0,1,32728.7
Banyuwangi,Februari,2024,25948,4344.1,17642,2115.2,6.23,26.57,4265,22263,2991,17017,22.03,36.04,2,0.1674156004316325,0.11989570343498468,5.219929660023447,5.689401537947175,1.6359509759418973,7278.03,39316.04,0,1,32728.7
Banyuwangi,Maret,2024,25948,5963.8,17642,3148.5,5.95,26.83,5234,27269,2340,13572,33.78,56.28,3,0.229836596269462,0.1784661602992858,5.209973251815056,5.8,1.6660746003552398,7607.78,40897.28,0,1,32728.7
Banyuwangi,April,2024,44355,6895.4,37715,3717.0,5.25,26.8,5234,27216,1531,8806,57.12,95.14,4,0.15545936196595647,0.09855495161076495,5.199847153228888,5.751796211626388,1.6656162464985995,6822.12,36117.14,0,2,32728.7
Banyuwangi,Mei,2024,44355,9711.2,37715,5492.2,2.07,26.19,3295,17101,1652,9563,123.14,205.12,5,0.21894262202682901,0.14562375712581202,5.1899848254931715,5.788740920096853,1.665746305018678,5070.14,26869.12,0,2,32728.7
Banyuwangi,Juni,2024,44355,12396.3,37715,7264.8,1.84,25.81,3295,17068,2233,12569,215.62,359.18,6,0.27947920189381126,0.1926236245525653,5.179969650986343,5.6287505597850425,1.6658009461088952,5743.62,29996.18,0,2,32728.7
Banyuwangi,Juli,2024,44355,15568.3,37715,9487.6,2.53,24.81,3295,17035,1710,9901,302.86,525.7,7,0.3509931236613685,0.2515603871138804,5.169954476479514,5.7900584795321635,1.7357855114574392,5307.86,27461.7,0,3,32728.7
Banyuwangi,Agustus,2024,44355,19738.5,37715,13107.6,1.63,24.59,3295,17002,1485,8567,366.15,635.55,8,0.4450118363205952,0.34754341773830044,5.159939301972686,5.769023569023569,1.7357640311347808,5146.15,26204.55,0,3,32728.7
Banyuwangi,September,2024,44355,24154.5,37715,17050.3,1.15,25.72,5234,26955,1723,9841,513.72,891.7,9,0.5445722015556307,0.45208272570595254,5.149980894153611,5.711549622751016,1.7357704586155882,7470.72,37687.7,0,3,32728.7
Banyuwangi,Oktober,2024,44355,28754.1,37715,21325.7,1.39,26.51,5234,26902,1540,8824,333.98,579.71,10,0.6482718971931011,0.5654434575102745,5.139854795567444,5.72987012987013,1.7357626205161987,7107.98,36305.71,0,4,32728.7
Banyuwangi,November,2024,44355,32485.9,37715,25189.0,4.12,27.4,4265,21879,1249,7144,112.79,187.88,11,0.7324067185210236,0.6678775023200318,5.12989449003517,5.719775820656525,1.6657505097969676,5626.79,29210.88,0,4,32728.7
Banyuwangi,Desember,2024,44355,36664.3,37715,30466.8,10.19,26.75,4265,21836,1294,7300,11.28,18.45,12,0.8266103032352611,0.8078165186265411,5.119812426729191,5.641421947449768,1.6356382978723405,5570.28,29154.45,0,4,32728.7
