kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Lamongan,April,2023,2.0017149816055455,24228.4,1.1781229498119854,12826.6,0.3001623506570743,0.14128930680473498,8559,50583,2698,16806,56.91,96.55,4,0.3817600252107461,0.37179628395025943,1.6418193374561092,1.3150514258374386,0.3983782663325149,1.3128202410655,1.5647640462312034,0,2,1.3308180381867118
Lamongan,Mei,2023,2.0017149816055455,31858.7,1.1781229498119854,16767.2,-0.4873127366518077,0.5622705875989629,5389,31795,3067,19228,124.59,211.37,5,0.5019884975971007,0.48601988463433726,1.6057488666816426,1.4306035355775994,0.3982521574528061,0.21868279161364712,0.4502719373333821,0,2,1.3308180381867118
Lamongan,Juni,2023,2.0017149816055455,37310.2,1.1781229498119854,19590.9,-0.791441046233169,0.9536052993231744,5389,31741,3869,24296,218.1,369.99,6,0.5878862365083116,0.5678686338734457,1.5693790559007488,1.460281647537636,0.39732926794758283,0.5771519892775244,0.8050058195700592,0,2,1.3308180381867118
Lamongan,Juli,2023,2.0017149816055455,41275.7,1.1781229498119854,21466.1,-0.7009266683815734,0.29545146596881705,5389,31687,3057,19136,301.65,532.85,7,0.6503694949972425,0.6222238325748572,1.533009245119858,1.4030880368978196,1.0375759985682331,0.2855562650106244,0.45860293246043765,0,3,1.3308180381867118
Lamongan,Agustus,2023,2.0017149816055455,43291.3,1.1781229498119854,22645.9,-0.9344537632386901,0.6393516671810039,5389,31633,2584,16306,358.46,633.2,8,0.6821287323721736,0.6564219252731963,1.496639434338964,1.5484315983936547,1.037522644945515,0.11895701388475285,0.2677025819053751,0,3,1.3308180381867118
Lamongan,September,2023,2.0017149816055455,47359.4,1.1781229498119854,24743.6,-0.8059233466894243,1.0484743203472258,8559,50155,3152,19637,501.68,886.2,9,0.7462286299535177,0.7172265862778631,1.4603195135591407,1.3177899152174581,1.0376993670455956,1.6725944041506282,1.7837132690859512,0,3,1.3308180381867118
Lamongan,Oktober,2023,2.0017149816055455,53453.9,1.1781229498119854,28240.4,-0.9000582996550837,1.8963661957496836,8559,50070,2681,16809,330.25,583.38,10,0.8422579374458363,0.8185860459723471,1.424273987785211,1.431628011432878,1.037838892919673,1.415432153974522,1.5631750673285538,0,4,1.3308180381867118
Lamongan,November,2023,2.0017149816055455,58258.5,1.1781229498119854,31451.0,-0.0763774612055635,1.505031484025472,6974,40728,2312,14404,113.16,191.98,11,0.9179626565823682,0.9116496130322618,1.3879586024600343,1.3180514312100766,0.39835526716722247,0.5463532041514411,0.7307339144617887,0,4,1.3308180381867118
Lamongan,Desember,2023,2.0017149816055455,62261.4,1.1781229498119854,33786.6,0.6911844629759674,0.7638672572750717,6974,40658,2327,14708,11.37,18.96,12,0.9810352162609313,0.9793501260906112,1.3515275630414618,1.5777442034526938,0.13330858679814345,0.511611502031702,0.7349158710212869,0,4,1.3308180381867118
Lamongan,Januari,2024,0.9278077511414433,1023.4,0.5063227674313832,570.6,1.3284056830512008,0.23022901401478219,7078,42114,2895,18499,15.47,25.94,1,0.023947023586671657,0.022912902059992774,1.7872435591967517,1.776927516676851,0.21785760597519868,0.7822517232917068,1.0952293528919559,0,1,1.3308180381867118
